postcode,state,latitude,longitude,name
5000,SA,-34.92577,138.599732,ADELAIDE
5000,SA,-34.922696,138.591391,CITY WEST CAMPUS
5000,SA,-34.932483,138.608586,HALIFAX STREET
5000,SA,-34.930234,138.612185,HUTT STREET
5000,SA,-34.921089,138.598763,PARLIAMENT HOUSE
5000,SA,-34.92285,138.60232,RUNDLE MALL
5000,SA,-34.920938,138.597922,STATION ARCADE
5000,SA,-34.933259,138.593516,STURT STREET
5001,SA,-35.120097,139.273782,ADELAIDE
5005,SA,-34.919398,138.60351,ADELAIDE UNIVERSITY
5005,SA,-34.919398,138.60351,THE UNIVERSITY OF ADELAIDE
5005,SA,-34.919398,138.60351,UNIVERSITY OF ADELAIDE
5006,SA,-34.921568,138.599136,NORTH ADELAIDE
5006,SA,-34.907829,138.60594,NORTH ADELAIDE MELBOURNE ST
5007,SA,-34.904277,138.578712,BOWDEN
5007,SA,-34.897215,138.576557,BROMPTON
5007,SA,-34.905867,138.570333,HINDMARSH
5007,SA,-34.89761,138.558786,WELLAND
5007,SA,-34.904235,138.563521,WEST HINDMARSH
5008,SA,-34.89845,138.56358,CROYDON
5008,SA,-34.880001,138.566603,CROYDON PARK
5008,SA,-34.886378,138.567056,CROYDON PARK SOUTH
5008,SA,-34.888296,138.580488,DEVON PARK
5008,SA,-34.882137,138.578354,DUDLEY PARK
5008,SA,-34.893418,138.578397,RENOWN PARK
5008,SA,-34.894182,138.57185,RIDLEYTON
5008,SA,-34.89042,138.557689,WEST CROYDON
5009,SA,-34.904334,138.555148,ALLENBY GARDENS
5009,SA,-34.892752,138.546936,BEVERLEY
5009,SA,-34.873953,138.548318,KILKENNY
5010,SA,-34.859133,138.560673,ANGLE PARK
5010,SA,-34.863833,138.55731,FERRYDEN PARK
5010,SA,-34.860167,138.570298,REGENCY PARK
5011,SA,-34.877605,138.538261,WOODVILLE
5011,SA,-34.883375,138.545754,WOODVILLE PARK
5011,SA,-34.880931,138.535018,WOODVILLE SOUTH
5011,SA,-34.882861,138.525852,WOODVILLE WEST
5012,SA,-34.857676,138.542627,ATHOL PARK
5012,SA,-34.851589,138.546785,MANSFIELD PARK
5012,SA,-34.864067,138.552157,WOODVILLE GARDENS
5012,SA,-34.862877,138.53809,WOODVILLE NORTH
5013,SA,-34.840426,138.52745,GILLMAN
5013,SA,-34.846263,138.533378,OTTOWAY
5013,SA,-34.856994,138.529153,PENNINGTON
5013,SA,-34.852879,138.519915,ROSEWATER
5013,SA,-34.851527,138.526594,ROSEWATER EAST
5013,SA,-34.842289,138.564122,WINGFIELD
5014,SA,-34.878311,138.521348,ALBERT PARK
5014,SA,-34.85922,138.51953,ALBERTON
5014,SA,-34.869409,138.526324,CHELTENHAM
5014,SA,-34.872364,138.514735,HENDON
5014,SA,-34.864156,138.512889,QUEENSTOWN
5014,SA,-34.87212,138.511405,ROYAL PARK
5015,SA,-34.840209,138.496803,BIRKENHEAD
5015,SA,-34.849107,138.494676,ETHELTON
5015,SA,-34.844509,138.492029,GLANVILLE
5015,SA,-34.847514,138.50741,PORT ADELAIDE
5016,SA,-34.821123,138.494309,LARGS BAY
5016,SA,-34.818215,138.493669,LARGS NORTH
5016,SA,-34.83159,138.496562,PETERHEAD
5017,SA,-34.798477,138.491768,OSBORNE
5017,SA,-34.804332,138.498901,TAPEROO
5018,SA,-34.792468,138.497748,NORTH HAVEN
5018,SA,-34.780872,138.50157,OUTER HARBOR
5019,SA,-34.842086,138.489704,EXETER
5019,SA,-34.838901,138.483997,SEMAPHORE
5019,SA,-34.852725,138.493052,SEMAPHORE PARK
5019,SA,-34.846167,138.477895,SEMAPHORE SOUTH
5020,SA,-34.871388,138.483659,WEST LAKES SHORE
5021,SA,-34.871659,138.48215,WEST LAKES
5022,SA,-34.899814,138.489405,GRANGE
5022,SA,-34.919644,138.494348,HENLEY BEACH
5022,SA,-34.926798,138.500742,HENLEY BEACH SOUTH
5022,SA,-34.906138,138.501235,KIRKCALDY
5022,SA,-34.885201,138.486429,TENNYSON
5023,SA,-34.90548,138.532561,FINDON
5023,SA,-34.898676,138.514174,SEATON
5023,SA,-34.883725,138.51311,SEATON NORTH
5024,SA,-34.926634,138.512231,FULHAM
5024,SA,-34.912715,138.513526,FULHAM GARDENS
5024,SA,-34.936503,138.505291,WEST BEACH
5025,SA,-34.907738,138.546435,FLINDERS PARK
5025,SA,-34.913823,138.527775,KIDMAN PARK
5031,SA,-34.925146,138.56092,MILE END
5031,SA,-34.937477,138.570982,MILE END SOUTH
5031,SA,-34.913508,138.572584,THEBARTON
5031,SA,-34.924412,138.555908,TORRENSVILLE
5031,SA,-34.923084,138.562952,TORRENSVILLE PLAZA
5032,SA,-34.928848,138.542773,BROOKLYN PARK
5032,SA,-34.926408,138.532,LOCKLEYS
5032,SA,-34.918782,138.548574,UNDERDALE
5033,SA,-34.932483,138.556885,COWANDILLA
5033,SA,-34.83397,138.499468,HILTON PLAZA
5033,SA,-34.948697,138.562743,MARLESTON
5033,SA,-34.940884,138.568242,RICHMOND
5033,SA,-34.939878,138.550776,WEST RICHMOND
5034,SA,-34.962993,138.586161,CLARENCE PARK
5034,SA,-34.950516,138.58958,GOODWOOD
5034,SA,-34.963391,138.592528,KINGS PARK
5034,SA,-34.955746,138.59,MILLSWOOD
5034,SA,-34.945528,138.589228,WAYVILLE
5035,SA,-34.948705,138.57395,ASHFORD
5035,SA,-34.963716,138.575989,BLACK FOREST
5035,SA,-34.953753,138.575323,EVERARD PARK
5035,SA,-34.950538,138.581157,FORESTVILLE
5035,SA,-34.945593,138.578404,KESWICK
5035,SA,-34.931507,138.576242,KESWICK TERMINAL
5037,SA,-34.960393,138.566426,GLANDORE
5037,SA,-34.949557,138.565811,KURRALTA PARK
5037,SA,-34.950051,138.551058,NETLEY
5037,SA,-34.956594,138.554263,NORTH PLYMPTON
5038,SA,-34.96838,138.543432,CAMDEN PARK
5038,SA,-34.964002,138.554812,PLYMPTON
5038,SA,-34.980751,138.548861,PLYMPTON PARK
5038,SA,-34.976345,138.555713,SOUTH PLYMPTON
5039,SA,-34.971683,138.577772,CLARENCE GARDENS
5039,SA,-34.979716,138.571672,EDWARDSTOWN
5039,SA,-34.989526,138.575963,MELROSE PARK
5040,SA,-34.961584,138.528204,NOVAR GARDENS
5041,SA,-34.983666,138.592125,COLONEL LIGHT GARDENS
5041,SA,-34.967821,138.590894,CUMBERLAND PARK
5041,SA,-34.980658,138.588621,DAW PARK
5041,SA,-34.996116,138.597514,PANORAMA
5041,SA,-34.97084,138.595784,WESTBOURNE PARK
5042,SA,-35.019843,138.568127,BEDFORD PARK
5042,SA,-34.999896,138.571839,CLOVELLY PARK
5042,SA,-35.029149,138.571849,FLINDERS UNIVERSITY
5042,SA,-35.002328,138.589989,PASADENA
5042,SA,-35.006031,138.577642,ST MARYS
5043,SA,-34.986929,138.564635,ASCOT PARK
5043,SA,-34.999705,138.552429,MARION
5043,SA,-35.011182,138.562462,MITCHELL PARK
5043,SA,-34.988499,138.538699,MORPHETTVILLE
5043,SA,-34.993658,138.557,PARK HOLME
5044,SA,-34.986272,138.530886,GLENGOWRIE
5044,SA,-34.997159,138.521474,SOMERTON PARK
5045,SA,-34.980154,138.517721,GLENELG
5045,SA,-34.986059,138.522921,GLENELG EAST
5045,SA,-34.980252,138.515622,GLENELG JETTY ROAD
5045,SA,-34.970755,138.517026,GLENELG NORTH
5045,SA,-34.990328,138.518497,GLENELG SOUTH
5046,SA,-35.014317,138.545262,OAKLANDS PARK
5046,SA,-35.007428,138.538125,WARRADALE
5046,SA,-34.997662,138.531136,WARRADALE NORTH
5047,SA,-35.029907,138.556645,DARLINGTON
5047,SA,-35.025981,138.545083,SEACOMBE GARDENS
5047,SA,-35.033745,138.548599,SEACOMBE HEIGHTS
5047,SA,-35.025422,138.553339,STURT
5048,SA,-35.020996,138.523266,BRIGHTON
5048,SA,-35.02537,138.53785,DOVER GARDENS
5048,SA,-35.008733,138.522344,HOVE
5048,SA,-35.006273,138.52215,NORTH BRIGHTON
5048,SA,-35.025226,138.523584,SOUTH BRIGHTON
5049,SA,-35.040043,138.519618,KINGSTON PARK
5049,SA,-35.045649,138.513757,MARINO
5049,SA,-35.034192,138.522443,SEACLIFF
5049,SA,-35.030885,138.531755,SEACLIFF PARK
5049,SA,-35.03442,138.536182,SEAVIEW DOWNS
5050,SA,-35.032941,138.586754,BELLEVUE HEIGHTS
5050,SA,-35.026969,138.601548,EDEN HILLS
5051,SA,-35.021155,138.616756,BLACKWOOD
5051,SA,-35.046052,138.621049,COROMANDEL VALLEY
5051,SA,-35.033947,138.606867,CRAIGBURN FARM
5051,SA,-35.020201,138.631287,HAWTHORNDENE
5052,SA,-34.997952,138.622116,BELAIR
5052,SA,-35.010165,138.623528,GLENALTA
5061,SA,-34.957389,138.614822,MALVERN
5061,SA,-34.950198,138.607451,UNLEY
5061,SA,-34.960535,138.600388,UNLEY PARK
5062,SA,-34.987009,138.653218,BROWN HILL CREEK
5062,SA,-34.990274,138.603788,CLAPHAM
5062,SA,-34.967724,138.599703,HAWTHORN
5062,SA,-34.971194,138.615854,KINGSWOOD
5062,SA,-34.97935,138.606372,LOWER MITCHAM
5062,SA,-34.997607,138.60862,LYNTON
5062,SA,-34.986905,138.624611,MITCHAM
5062,SA,-34.975288,138.609718,MITCHAM SHOPPING CENTRE
5062,SA,-34.97201,138.627025,NETHERBY
5062,SA,-34.977667,138.630647,SPRINGFIELD
5062,SA,-34.983776,138.61155,TORRENS PARK
5063,SA,-34.942432,138.620875,EASTWOOD
5063,SA,-34.947118,138.627357,FREWVILLE
5063,SA,-34.950708,138.628827,FULLARTON
5063,SA,-34.958957,138.626046,HIGHGATE
5063,SA,-34.944244,138.613016,PARKSIDE
5064,SA,-34.96026,138.64144,GLEN OSMOND
5064,SA,-34.951602,138.638052,GLENUNGA
5064,SA,-34.962947,138.657676,MOUNT OSMOND
5064,SA,-34.959348,138.636274,MYRTLE BANK
5064,SA,-34.953695,138.647541,ST GEORGES
5064,SA,-34.966733,138.635683,URRBRAE
5065,SA,-34.935144,138.629321,DULWICH
5065,SA,-34.941886,138.640817,GLENSIDE
5065,SA,-34.947009,138.650227,LINDEN PARK
5065,SA,-34.934657,138.638419,TOORAK GARDENS
5065,SA,-34.935626,138.651703,TUSMORE
5066,SA,-34.950576,138.661084,BEAUMONT
5066,SA,-34.936496,138.660032,BURNSIDE
5066,SA,-34.928349,138.662474,ERINDALE
5066,SA,-34.934616,138.658359,HAZELWOOD PARK
5066,SA,-34.934882,138.677631,STONYFELL
5066,SA,-34.957828,138.673823,WATERFALL GULLY
5066,SA,-34.927668,138.677122,WATTLE PARK
5067,SA,-34.91772,138.643572,BEULAH PARK
5067,SA,-34.921537,138.616366,KENT TOWN
5067,SA,-34.921129,138.63661,NORWOOD
5067,SA,-34.927723,138.627107,NORWOOD SOUTH
5067,SA,-34.930986,138.62831,ROSE PARK
5068,SA,-34.930524,138.648349,HEATHPOOL
5068,SA,-34.923986,138.645123,KENSINGTON
5068,SA,-34.925809,138.663349,KENSINGTON GARDENS
5068,SA,-34.926428,138.651068,KENSINGTON PARK
5068,SA,-34.929497,138.651299,LEABROOK
5068,SA,-34.927763,138.646998,MARRYATVILLE
5068,SA,-34.910863,138.653112,ST MORRIS
5068,SA,-34.911943,138.646108,TRINITY GARDENS
5069,SA,-34.912714,138.621705,COLLEGE PARK
5069,SA,-34.90529,138.635493,EVANDALE
5069,SA,-34.916953,138.61586,HACKNEY
5069,SA,-34.912463,138.635718,MAYLANDS
5069,SA,-34.903331,138.622003,ST PETERS
5069,SA,-34.909365,138.628039,STEPNEY
5070,SA,-34.890867,138.643967,FELIXSTOW
5070,SA,-34.905866,138.657721,FIRLE
5070,SA,-34.890359,138.654317,GLYNDE
5070,SA,-34.905054,138.656357,GLYNDE PLAZA
5070,SA,-34.899346,138.625375,JOSLIN
5070,SA,-34.896494,138.63911,MARDEN
5070,SA,-34.898772,138.639348,PAYNEHAM
5070,SA,-34.904667,138.645709,PAYNEHAM SOUTH
5070,SA,-34.898274,138.633913,ROYSTON PARK
5071,SA,-34.922911,138.623005,KENT TOWN
5072,SA,-34.919717,138.684397,AULDANA
5072,SA,-34.909296,138.675784,MAGILL
5072,SA,-34.902266,138.675265,MAGILL NORTH
5072,SA,-34.913108,138.674826,MAGILL SOUTH
5072,SA,-34.921802,138.676685,ROSSLYN PARK
5072,SA,-34.924734,138.694237,SKYE
5072,SA,-34.909463,138.698659,TERINGIE
5072,SA,-34.905315,138.689955,WOODFORDE
5073,SA,-34.890238,138.663636,HECTORVILLE
5073,SA,-34.894045,138.690678,ROSTREVOR
5073,SA,-34.903946,138.662166,TRANMERE
5073,SA,-34.898042,138.664551,TRANMERE NORTH
5074,SA,-34.878302,138.663553,CAMPBELLTOWN
5074,SA,-34.886544,138.69123,NEWTON
5075,SA,-34.861331,138.68319,DERNANCOURT
5075,SA,-34.873609,138.668901,PARADISE
5076,SA,-34.869798,138.702852,ATHELSTONE
5076,SA,-34.869357,138.752695,CASTAMBUL
5081,SA,-34.884166,138.620121,COLLINSWOOD
5081,SA,-34.899389,138.612095,GILBERTON
